<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AGHIGH,d,20221022,000000,42800,42810,42700,42700,22701
AGHIGH,d,20221023,000000,42700,42710,42600,42600,71029
AGHIGH,d,20221024,000000,42700,42700,41800,41800,23244
AGHIGH,d,20221025,000000,41800,41900,41500,41500,14845
AGHIGH,d,20221026,000000,41200,41200,40500,40500,38253
AGHIGH,d,20221029,000000,40600,40900,40600,40800,18212
AGHIGH,d,20221030,000000,40800,41000,40800,41000,14397
AGHIGH,d,20221031,000000,41500,41700,41500,41700,10750
AGHIGH,d,20221101,000000,41900,41900,41900,41900,195
AGHIGH,d,20221102,000000,41900,41900,41800,41900,35427
AGHIGH,d,20221105,000000,42000,43500,42000,43500,141887
AGHIGH,d,20221106,000000,44640,44640,44290,44620,12501
AGHIGH,d,20221107,000000,45000,45500,44000,45300,597292
AGHIGH,d,20221108,000000,45800,46000,45800,45900,13246
AGHIGH,d,20221109,000000,45500,47070,45500,47070,22506
AGHIGH,d,20221112,000000,47100,47100,46300,46300,18840
AGHIGH,d,20221113,000000,46400,46400,46400,46400,1961
AGHIGH,d,20221114,000000,45800,45800,45700,45700,26914
AGHIGH,d,20221115,000000,45700,46150,45700,45800,49864
AGHIGH,d,20221116,000000,45800,46300,45800,45900,61379
AGHIGH,d,20221120,000000,45400,45900,45400,45900,6622
AGHIGH,d,20221121,000000,45900,46010,45900,45900,41000
AGHIGH,d,20221122,000000,45800,45800,45800,45800,16028
AGHIGH,d,20221123,000000,45900,45900,45900,45900,3423
AGHIGH,d,20221126,000000,46000,46000,45900,45900,12540
AGHIGH,d,20221127,000000,45700,45700,45700,45700,93002
AGHIGH,d,20221128,000000,45800,45900,45800,45800,18000
AGHIGH,d,20221129,000000,45800,45900,45800,45900,7131
AGHIGH,d,20221130,000000,46300,47220,46300,46300,10832
AGHIGH,d,20221203,000000,45900,45900,45900,45900,10770
AGHIGH,d,20221204,000000,45890,45890,45890,45890,152
AGHIGH,d,20221205,000000,45700,45710,45500,45500,33000
AGHIGH,d,20221206,000000,45200,45200,45200,45200,1750
AGHIGH,d,20221207,000000,45500,45500,45200,45200,90524
AGHIGH,d,20221210,000000,45000,45000,44600,44600,143133
AGHIGH,d,20221211,000000,44600,44800,44600,44800,10000
AGHIGH,d,20221212,000000,45000,45600,45000,45600,32890
AGHIGH,d,20221213,000000,47000,47000,46800,46800,13431
AGHIGH,d,20221214,000000,47000,47600,47000,47500,9244
AGHIGH,d,20221217,000000,47300,47600,47300,47600,37093
AGHIGH,d,20221218,000000,47900,48700,47900,48700,13384
AGHIGH,d,20221219,000000,48600,48600,48500,48500,54690
AGHIGH,d,20221220,000000,48000,48000,48000,48000,26644
AGHIGH,d,20221221,000000,48200,48200,48200,48200,10000
AGHIGH,d,20221224,000000,49000,49900,48600,49500,71506
AGHIGH,d,20221225,000000,49600,49800,49600,49800,17386
AGHIGH,d,20221226,000000,49800,50500,49800,50500,14524
AGHIGH,d,20221228,000000,50500,53000,50500,53000,83250
AGHIGH,d,20221231,000000,51000,52500,50000,50500,112636
AGHIGH,d,20230101,000000,50000,50070,50000,50000,66119
AGHIGH,d,20230102,000000,48500,50700,48500,50600,8522
AGHIGH,d,20230103,000000,50600,50600,50600,50600,616
AGHIGH,d,20230104,000000,50000,50000,50000,50000,6946
AGHIGH,d,20230107,000000,50000,51500,50000,51000,49238
AGHIGH,d,20230108,000000,52500,54500,52000,52620,33303
AGHIGH,d,20230109,000000,51800,54000,51800,52680,34786
AGHIGH,d,20230110,000000,49550,55000,49550,55000,242835
AGHIGH,d,20230111,000000,53040,53890,53000,53000,40605
AGHIGH,d,20230114,000000,52500,53500,52000,52700,65204
AGHIGH,d,20230116,000000,50100,54000,50100,53500,27022
AGHIGH,d,20230117,000000,53800,54010,53800,53900,136796
AGHIGH,d,20230118,000000,54200,54200,53610,54000,6095
AGHIGH,d,20230121,000000,53550,53550,53550,53550,10
AGHIGH,d,20230122,000000,53000,53300,52500,53000,45118
AGHIGH,d,20230123,000000,54000,54000,52500,52510,4903
AGHIGH,d,20230124,000000,53280,53470,51500,53470,1186752
AGHIGH,d,20230125,000000,50000,54500,50000,52800,70055
AGHIGH,d,20230128,000000,51010,51200,51010,51200,4503
AGHIGH,d,20230129,000000,50800,51010,49200,51010,129385
AGHIGH,d,20230130,000000,49000,49100,48820,49100,14216
AGHIGH,d,20230131,000000,49200,49300,49100,49100,50200
AGHIGH,d,20230201,000000,50450,51160,49500,49500,796090
AGHIGH,d,20230205,000000,50000,50040,49800,49800,244654
AGHIGH,d,20230206,000000,49400,50000,49400,50000,181241
AGHIGH,d,20230207,000000,50700,52740,50700,50910,4394
AGHIGH,d,20230208,000000,52740,52740,50990,50990,15021
AGHIGH,d,20230212,000000,50700,51000,50700,51000,15915
AGHIGH,d,20230213,000000,50800,50800,50750,50750,43474
